,title,text,date
16,AI 인공지능 데이터 라벨링으로 수익 창출하는 법 (+무료교육 선착순 한정),"AI 인공지능 데이터 라벨링으로 수익 창출하는 법 (+무료교육 선착순 한정) 안녕하세요. 사진&IT 크리에이터 자유분방입니다. 올해 초 Chat GPT가 출시가 되면서, 인공지능 (AI)에 대한 관심도도 상당 부분 올라갔습니다. 그렇다 보니, 관련 직군들이 주목을 받고 있는데요. 관련 일거리는 어떤게 있을까요? 이번 글에서는 '데이터 라벨링'을 전문적으로...",2023.10.19.
17,미국주식 엔비디아 주가 500달러 돌파 - 인공지능 챗GPT 관련주,"생성형AI 인공지능의 최대 수혜주로 꼽히는 엔비디아가 2분기 실적을 발표했습니다. 예상보다 훨씬 상회하는 실적으로 장중에는 3%, 장마감후에는 6%가 상승해 주가는 500달러를 돌파했습니다. 후덜덜하네요. 매출은 시장 예상치 112억 2,000만 달러를 훌쩍 넘어선 135억 1,000만 달러를 기록해습니다. 전년도 동기 대비 88% 가 급증한 것인데요. 당연하게도 ...",2023.08.24.
18,인공지능 OpenAI 해커톤 개발 공모전 SK 텔레콤 Prompterday 소개,해커톤은 해킹과 마라톤이 합성된 말로 일정 시간 내에 주제에 맞는 서비스를 기발하는 공모전을 뜻하는데요~ 이번에 SK 텔레콤에서 인공지능 OpenAI 개발 공모전인 Prompter Day Seoul 2023 행사가 있어 소개를 해드리려 합니다. Prompter Day Seoul 2023 기술의 발달로 이제는 우리의 삶과 떼려야 뗄 수 없는 그런 시대에 살고 있는데요. 사실 예전에 나온...,2023.08.24.
19,"엔잡러가 원하는 인공지능 직업 데이터라벨링, 국비지원무료교육 가능!",인공지능(AI)은 주입된 수많은 데이터를 통해 학습을 하며 이때 제공받는 데이터는 인공지능이 학습할 수 있도록 가공된 형태죠. 여기서 가공을 데이터 전처리 작업이라고 표현할 수 있는데 이것이 바로 데이터 라벨링이라고 이해하시면 됩니다. 최근에는 챗GPT가 화제가 되고 있는데요. 내가 원하는 질문을 하면 그에 따른 최적의 답변을 내어주고 있습니다. 이는 실제...,2023.07.18.
20,"신약 개발의 벽을 넘기 위한 도약, 인공지능 기반 신약 개발","인공지능의 도입으로 약효를 결정하는 분자의 단순 스크리닝 과정을 효율화하고, 예상되는 문제를 사전에 예측해 신약 개발 성공 확률을 높일 수 있다는 가능성이 꾸준히 확인되고... 부족한 자본을 보완하는 기술력, 인공지능의 도입 사람의 노동력으로 진행되었던 지점을 으로 대체해 효율을 높일 수 있다. 자본이 부족하다면 막대한 자본을 요구하는 부분이...",2023.09.18.
21,인공지능을 이용한 산불 감시 시스템,"과거 화재 감시는 인간의 눈에 의존했지만, 최근에는 인공지능을 적용하려는 시도가 이어지고 있습니다. 관련 스타트업 가운데 하나인 파노 AI (Pano AI)는 이미 캘리포니아, 오레건, 콜로라도, 워싱턴, 아이다호, 몬태나 주에서 240만 헥타르의 숲을 감시하고 있습니다. 최근 파노 AI는 화재 감시 영역을 호주로 확장했습니다....",2023.08.08.
22,AI 프로필 수면분석 통화요약 어플 SKT 에이닷 인공지능 기능,"인공지능 에이전트 서비스 SKT A.(에이닷)이 정식 출시되었습니다. 주목할 만한 신기능들도 업데이트가 되었는데요. 수면분석 도우미 A.sleep, 통화 내용을 요약해 주는 A.통화요약... AI 모션프로필 AI 모션프로필은 내 사진을 업로드하면 이 알아서 멋진 AI 프로필 이미지를 만들어주는 기능입니다. A.(에이닷)어플 [앱] 메뉴에 있는 [A. 포토]에서 실행할 수 있고요....",2023.09.30.
23,"(글로벌교육과) 인공지능 시대, 공공 인재개발 전략은?","인공지능 혁신 시대에 대응하는 공직 인재개발 체계(패러다임)를 논하는 자리가 마련됩니다. 국가공무원인재개발원(원장 김채환, 이하 ‘국가인재원’)은 오는 27일부터 내달... ‘인공지능(AI) 혁신 시대에 대응하는 공직 인재개발 체계(패러다임)’를 주제로 열리는 올해 학술대회는 관심 있는 누구나 유튜브(인재교육TV) 시청 또는 현장 참여가 가능하며, 참가 신청은...",2023.10.20.
24,윈도우 코파일럿 미리사용해본 AI 인공지능 기능! 윈도우 11 23H2 프리뷰 코파일럿 사용법,얼리어답터 리뷰/IT정보 윈도우 코파일럿 미리사용해본 AI 인공지능 기능! 윈도우 11 23H2 프리뷰 코파일럿 사용법 by 엔돌슨 2023. 10. 5. 윈도우 코파일럿의 기능과 사용법 리뷰 이번에는 윈도우11에 내장된 윈도우 코파일럿 입니다. 챗GPT 같은 을 윈도우에서 직접 사용하여 윈도우를 제어할 수 있다니 대단하네요! 윈도우 11의 최신 업데이트 버전인 23H2...,2023.10.05.
25,AI 인공지능 관련주 대장주 TOP2!,"AI 인공지능 관련주 대장주 TOP2! 주식 쉽게 하는 팁까지 공유! 오후에는 아직까지도 무더운데, 오전에는 날씨가 선선하니 좋네요. 곧 있음 단풍 소식에 추석 가을이 금방 올 것... 오늘은 향후 기대되는 섹터 중 하나인, AI 관련주와 대장주를 한 번 살펴 볼께요. AI 관련주 대장주 TOP2! © vishnumaiea, 출처 Unsplash 올 해 초 챗GPT 이슈를 시작으로, AI...",2023.09.10.
26,"[관심종목] 23년 마지막 주목받을 인공지능,반도체 산업주식 종목","23년 8월에서 12월까지 남은 5개월을 장식할 인공지능,반도체 산업주식 종목에는 뭐가 있을까? 주식은 상황과 여건에 따라 빛나는 종목이 있습니다. 올해 초부터 인공지능에 강세를 보였고 2차전지가 중심에 있었습니다. 그리고 2차전지와 관련된 에코프로가 빛을 받았죠. 그렇다면 하반기에는 어떤 종목이 주목을 받고 대미를 장식할 것일까 저는 빅테크들이라고 봅니다....",2023.08.06.
27,"수희향 작가의 '인공지능 시대, 교육의 미래' 강연","톰 크루즈가 주연한 영화 '엣지 오브 투모로우'에 보면 주인공이 몸에 기계를 장착하는 착용 로봇을 입고 괴물과의 전쟁에 참여합니다. 이런 상상은 현실이 되고 있습니다. 교육의 미래는 인공지능의 시대라고 강사는 말합니다. 고정관념을 깨버려야 하며, 집단 속에서 생각하고 결정하면 큰 위력을 발휘할 수 있다 합니다. 많은 영화 속에서 보듯이 AI가 사람의 감정이나...",2023.09.27.
28,"네이버 AI 큐(Cue:), 이제 특화된 대화형 인공지능!",네이버 AI 클로바X가 서비스된지 얼마 되지 않았는데 네이버에서 추가로 새로운 인공지능 서비스가 시작되었습니다. 바로 네이버 AI 큐(Cue:)인데요. 큐는 하이버클로바X 기반으로 검색... 기존 검색 사이트를 이용하는 방식과 달리 으로 원하는 정보를 좀 더 빠르게 확인할 수 있어 맘에 드네요. 앞으로의 새로운 변화를 경험해 보고 싶은 분들은 지금 바로 큐...,2023.10.04.
29,"업무 효율을 향상시켜주는 필수 어플 - 회의, 인터뷰, 강의 등 인공지능이 자동으로 기록해 주는 클로바노트...","회의, 인터뷰, 강의 등 인공지능이 자동으로 기록해 주는 클로바노트 녹음하는 방법입니다. 업무를 향상시켜주는 필수 어플 - 회의, 인터뷰, 강의 등 인공지능이 자동 기록해 주는 클로바노트로 녹음하는 방법 클로바 노트 회의, 인터뷰, 강의 등 녹음 내용을 눈으로 보면서 듣는 클로바노트입니다. 한번에 180분까지 녹음 가능하고 베타 서비스 기간 동안 300분까지...",2023.10.01.
